text,true_label,pred_label
terlanjur 1 sama pelayanan nya parah bintang kecewa,0,0
kan ditingkat SIUP lg,1,1
"suka banget belanja d sini, barang apapun yg kita cari semua ada, banyak diskos. sy suka banget sama livenya shopee",2,2
smpai sering di ulur harus ny sampai du ulur pesanan 5 hari,1,1
Sebagai Pengguna shopee kami sangat puas,2,2
"kerja kaya diperbudak,,digudang masukin barang kekontener sendiri,brukelarsuruhlanjutlg udh gtu minum harusadumulut SM pngwa tia gudang spx",0,0
buat belanja oke.. yg kecewa ngaktifin paylater udh 4x acc di gak,1,1
makin hari2 shoppe ni makin lelet pengantaran nya tak biasanya tolong deh di perbaiki agak lebih cepat dan sesuai estimasi tibanya ni udah di tanggal pengiriman ehhh malah apdet tgal pengiriman nya slalu gitu . tolong di ubah itu jagan konsumen menunggu2 lama donk,0,0
ini kenapa jalan saya pada gak pesanan dah?,0,0
"Paket saya tidak pernah tidak malah saya suruh ambil dikantor kurir shopee express, padahal saya datang menolak itu kesalahan kurir itu sendiri",1,1
pengiriman yang memuaskan kurang,1,1
"5, mau ngasih bintang tadinya tapi setelah update malah banyak bug, makanya bintangnya aku kurangin",1,1
udah males pake jam sekarang mah udah mah verifikasi aja lama gak bisa terus nunggu satu 1x24 shopee mendingan pindah aplikasi yang berbobot,0,0
kenapa skrng pengiriman paket lama sekali si,1,1
tolong pihak shopee menindak lanjuti permasalahan di bagian sudah sebenarnya bagus belanja di shopee sesuai dengan yang di jual belikan cuma semenjak ganti expedisi estimasinya suka terlambat jauh dari yang expedisinya di jadwalkan mohon di tindak lanjuti perihal masalah di bagian expedisinya,1,1
baguss tidak noko²🫰🏻,2,2
cukup memuaskan,2,2
"suka banget dengan shopee, semoga selalu gratis ongkir ya",2,2
"makin kesini shopee makin ngaco admin hampir 37% seller shopee GK kebagian untung penjualan buat pembeli jangn protes Mulu kalo seller jual mahal soalny admin ny kadang 10k/80k bahkan bisa sampai 220k shopee tolong lah seler di sini buat nyari untung bukan malah di bikin buntung kemarin jual baju ,modal baju 60k jual 75k kna admin 15k gak ngambil untung samsek🙏🏼 tolong perkecil min🙏🏼",0,0
"kacau... akun dibatasi secara sepihak, sebatas curiga malah dibatasi permanen... kacau banget, kaga jelas. aneh, saya gak ngerti persoalan voucher, dan lain sebagainya. malah diduga penyalahgunaan voucher, penipuan dan lain sebagainya sehingga akun saya tidak bisa lagi berbelanja. Padahal jelas-jelas saya ga mengerti awal mulanya cuma terakhir saya ingat belanja metode transfer tiba tiba dibatalkan dan uang malah masuk ke shoppepay udah kaya gini duit saya gak balik malah ngendep di shoppeepay.",0,0
"belanja jadi mudah dan menyenangkan tak perlu cape* keluar,,, Terimakasih shopee",2,2
"sangat rekomendasi ada berbelanja online, semua untuk di shopee",2,2
Pesanan terlambat katanya diberi kompensasi keterlambatan tapi kenapa harus ada bisa minimal belanja lebih besar agar syarat memakai voucher nya ? apakah ini disebut kompensasi ?,1,1
"Pengalaman buruk, paket ngak sampai² udah lebih dri tgl estimasi tibah. gak ada chet dri kurir setempat, di hubungi penjual gak ada kepastian, di hubungi kantor shopee gak ada respon baik, malahan Chet dan tfln gak di respon.",0,0
"aplikasinya sudah bagus tapi kenapa saya selalu menerima paket yang bukan saya pesan, padahal data saya aman dan sudah di di cek beberapa kali,tapi selalu saja ada paket yang datang, tolong buat shopee di lagi tingkatkan keamanannya",1,1
simpel & gratis ongkir,2,2
driver DRIVER YANG SUDAH BERKerja Bertahun Tahun Tidak Dpt BHR... SEDANGKAN YG BARU KERJA 4 BULAN DAN SEMINGGU MALAH DPT BHR 150RB. TOLONG DI PERBAIKI SISTEM BHR NYA program Ramadhan juga Hoak di notif ongkir 12rb pada kenyataanya di lapangan kami BANYAK tetap dpt 8rb . padahal masih di jam yg sudah di tentukan oleh pihak shopee,0,0
shopee makin keren makin banyak diskonnya dan makin memudahkan semoga sukses membangun bersama🙏🤗❤️,2,2
"pengiriman lama, udah 2 hari di hub kecamatan GK dikirim kirim. padahal jarak gudang sama rumah kurleb 300 meter. dari pengiriman luar kota sih oke beberapa hari. eh waktu udah di kotanya sendiri kok malah GK dikirim kirim sampai mau 3 hari. apalagi GK bisa menghubungi kurir yg mengantar beda dengan logistik sebelah yg dicantumkan nama dan nomer kurir.",0,0
"sekarang banget sekarang dengan shopee kurang transparan... kenapa kecewa kalau belanja selalu ada tambahan ukuran khususnya? sama aja dong boong gratis ongkirnya,,, semoga ada perubahan kedepannya",0,0
"bikin kapok belanja di shoope nyampenya lama bangeet, tidak seperti di aplikasi sebelah..",2,0
kalu bagus aku kasih 5 bintang,1,1
"iklannya maksa buat masuk shopee kan gw gak mau beli apa"" kok maksa bgt kalau udh masuk shope ga beli apa"" terus ngapain lawak",0,0
lama banget baru sampai juga kita chat tokonya trus gak di balas,1,1
goodluck ok,1,1
"sangat puas banget. sedikit masukan buat shopee, beberapa penjua menawarkan dengan video barang beda dengan yang dijual, tolong ditertibkan aja. makasih shopee",2,2
mudahkan pencairan limit spaylater untuk modal usah sebab saya daftar spinjam di tolak terus 👎,0,0
"tidak bisa mengirim binatang seperti burung keluar pulau, sayang banget yaa",2,2
"biasa nya ini aplikasi kesukaan saya, tapi bulan ini kenapa yaa tagihan Spayleter nya edit:sudah bisa di buka hanya loading saja, lalu kalo saya kena denda karena telat bayar tagihan bagaimana, pihak shopee tolong segera diperbaiki ya, sudah sebulan loh tagihan saya belum bisa di buka. gk saya infokan ke @shopeid tapi belum ada respon, tolong yaa segera di perbaiki sistem nya, saya pengguna shope sudah dari thn2019 tapi baru kali ini tidak nyaman",1,1
"APK BAGUS CUMA SANGAT BERAT SHOPEEFOOD HP MIDRANGE KE BAWAH,JDI KADANG MENGURUNGKAN NIAT BUAT BELANJA DAN UNTUK KRNA BERAT DAN IKLAN",1,1
aplikasi kesini makin ya makin lelet,1,1
sangat bagus recommended banget,2,2
sistem nya apaan bgt tau ga orang dari tadi tf TF ga ketemu ketemu rek nya jadi kebuang banyak waktu sama ini. perbaiki.,0,0
"Aya beri langsung bintang 5karna Saya yakin Shopee Indonesia Pastinya Mantap yuuu Kawan ""Segeralah Bergabung ,Good Job Shopee Indonesia. Sukses Slalu .👍👍👍👍",2,2
"bagus dengan app kadang berat dan live eror hp saya kurng update apa jaringannya kurng memadai .. setidaknya sudah cukup membantu , tokonya konsisten hindari seperti di apk toko online sebelah banyak penipuan,tingkatkan sistem reportasi tetap di jaga untuk jendela masyarakat di masa yang akan datang...",2,2
"tadinya mau ngasih bintang bintangnya tapi setelah update malah banyak bug, makanya 5, aku kurangin",1,1
buka apk aja lama shopee parah bgt sekarang nih,1,1
"sumpah ngeselin banget udah 8 hari paket ga nyampe², bikin laporan pun ga ada solusi",0,0
"penanganan masalah lambat, respon lambat, jawaban template di ulang terus tidak ada transparansi. kinerja sangat sangat buruk.",0,0
Hubungi penjual,1,1
pliss kerja sama sama jnt lagi spx kek kntl pengiriman nya lelet bgtttttt,1,1
produk yg cepat mantap pas sesuai keinginan customer.. trus sukses Shopie terimakasih,2,2
aplikasi belanja online NO 1,2,2
"aplikasi tidak memiliki performa yang bagus serba ribet yang lakuin bikin kesal dari login gak bisa ganti akun, bantuannya yg di minta gak direspon saya sesalkan hal ini sama apk nya 😡😠",0,0
mantul banget,2,2
DZOLIM BIKIN MISI TAPI ATURANNYA GAKJELAS AFFILIATE YG KENA IMBASNYA,1,1
"baguss buat poya"" klo ada uang sih itu juga🤣",2,2
smoga berkah,1,1
"Saya sangat kecewa sama shopee mengenai saldo e-money saya yang belum saya terima pas pengajuan pengembalian dana malah di tolak,ini sudah yang ke dua kalinya,pertama bulan April 2025, yg kedua bulan Maret 2026, asli kecewa banget!!!",0,0
"It's good kue good ,kaya fery2 tok wis lah keren bingit",2,2
tolong shopee hapus game Neko bikin emosi Al tosik banget,0,0
Alhamdulillah belanja di soppee murah dn puas bagus lagi barang yg di SMA beli aku,1,1
"Bagus aplikasinya moga istiqomah,aman ,serta amanah",2,2
