review,rating,sentiment
klaim asuransi saya ditolak,1,negatif
"saya penolakan pernah menolak pesanan di shopee tapi kenapa kurir mengirim bukti tidak barang,buat pihak Shopee tolong di perhatikan kurirnya,kami pembeli merasa di rugikan karena barang yg kami pesan tidak sampai ke tangan kami",3,netral
"Sangat ribet, selalu tidak bisa login padahal biasanya aman-aman saja. Parah ! Nggak lagi-lagi deh pakai aplikasi yang jelek seperti ini, sangat berbahaya di saat dibutuhkan untuk transfer malah aplikasinya TIDAK BISA LOGIN dengan keterangan ""ERROR -silakan perbarui aplikasi"" Dan sudah capek-capek aplikasi diperbarui kendala tetap tak teratasi, SELALU ERIOR TAK BISA LOGIN. Sudah ah mau saya tutup saja akun seabank saya daripada membahayakan diri sendiri.",1,negatif
udah lama pake ini,5,positif
buruk sekali,1,negatif
"senang belanja dishoppe murah, banyak discon nya..",5,positif
download sia² GK shopee,3,netral
"Alhamdulillah selalu puas selama belanja di shopee, semoga kedepannya shopee lebih baik lagi",5,positif
mengecewakan sekali dari segi expedisinya knapa opsi prioritasnya harus expedisi lemot udah beberapa kali nglamin pengiriman yg stuck dan pihak e-commerce cuman hanya bisa minta maaf tanpa ada itikad memperbaiki,1,negatif
aplikasi nya bagus sih tapi kadang suka ngelag banget,3,netral
",lemot,lama,banyak omong",1,negatif
"pelayanan sangat jelek, laporan ktp karena akun ada yang haked gak bisa di akses terus minta di pindahkn ke akun yang sekarang malah gak jelas perosesnya. alasan nik gak sesuai atau gak terdaftar jelas jelas kan disana ada photo ktp kenapa jadi bisa gak sesuai, terus masalah belum selesai udah laporan di selesaikan secara sepihak. ada apa apa dengan data diri mengatasnamakan saya tetap saja saya yang dimintai pertanggu jawaban. kalo gak niat bantu gausah adain buat laporan",1,negatif
lu kalo bikin iklan ngotak dikit napa,1,negatif
ngasih promo ga konsisten,1,negatif
saat ini utk login ataupun download ke mudah.... shopee sangat tidak aplkasi,3,netral
"masih sama aja, kinerja bagian gudang sortir SPX tetap buruk dan mengecewakan. tapi GX ada pilihan lain sih, tidak semua penjual mengaktifkan expedisi lain, padahal expedisi lain lebih bagus kinerjanya di bandingkan SPX. tolong perbaiki lagi kinerja SPX khususnya bagian penyortiran.",4,positif
"Tolong kak segera diproses cepat, saya melakukan transaksi via Seabank untuk pembayaran di Shopee. Lalu melakukan pembatalan pesanan, pembatalan disetujui penjual tetapi shopee belum melakukan pengenbalian Dana kembali ke Akun Seabank saya...Menunggu 1x24 selama diproses tapi ini sudah lewat 3 hari belum ada pengembalian dana sebesar 326.800 di akun Seabank saya maupun di aplikasi Shopee..keteranganya selalu ""Dalam Proses Pengembalian"". Kenapa lelet, kenapa saya harus menunggu lama.",1,negatif
"apk mudah lama dan nymn udah lama pake shope, tapi tolong lah sekerang pengirimannya shope expres jangan stuck terus dan akhir nya barang hilang digunakan loh nunggu nya tolong lah di perbaiki lagi masalah kurir",3,netral
"pengiriman expedisi shoppy area Semarang dn sekitarnya lama banget sekarang telat smpai ber Minggu"" kalau begini trus bakalan pindah marketplace lain. lah GX sesuai estimasi paket stuk tidak ada pergerakan",1,negatif
"Beli tiktok atau Tokopedia banyak diskon, gratis ongkir plus cepat bgt pengiriman, di tiktok 3 minggu ditambah diskon kecil banget dan yg paling parah pengirimannya lamaaaaaaaa banget Pakai kredivo 2 bulan limit melambung tinggi, shopee 8 tahun tenggelam limitnya🤣",1,negatif
sangat bermanfa'at,5,positif
"pengiriman lelet lambat,daripagi statur menuju alamat trus sampe malem gk nyampe2 sedangkan gk jauh2 amat bner2 emosi .enak pke j&t pengiriman yg dlu",1,negatif
Shopee is the best.,5,positif
"makin sip lagi klu ada tabungan yg bunganya 10% per tahun😀😀😀 sayang kalau retur barang tidak semudah dan nyaman lewat J&T. Spx outletnya cuman drop off, kita mesti print sendiri (bukti pengembalian)",5,positif
maaf bintang nya saya turunin pengirimannya lelet lama l.. saya turunin lagi bintangnya....ampun deh lamanya...bisa meleset dua tiga hari,1,negatif
pengalaman belanja online yang menyenangkan dan kurirnya ramah banget,5,positif
makin hari makin kaga jelas Shopee bintang 1 cukup,1,negatif
"udah mau udah nunggu paket ga datang2, sebulan mulai ga bener!",1,negatif
"sorry min sy baru kali ini mengalami kendala di blanja online yg pihak jasa kirimnya Lelet,,, paket sdh lebih dr estimasi bs dateng juga semoga admin bisa memahami & bisa kasih solusi ke pihak jasa kirim agar kedepanya blm lebih baik trimakasih",3,netral
"jujur semua kecewa min dengan kinerja spx, terutama spx luar pulau. barang stuck berminggu"" ahirnya retur. bikin kapok yang belanja. di lagi barang butuhkan bgt. kinerjanya di betulkan lah spx masa selalu mengulangi kesalahan yg sama.",3,netral
"Senang belanja di shoope , banyak gratis ongkirnya, cepat pengirimannya , ramah , kurirnya",5,positif
"belanjanya COD males,ngak bisa COD. jadi ajja kurirnya kadang males antar sampai rumah,makanya akun ku sepertinya di blacklist,padahal kurirnya yg seringan nggak antar sampai rumah. ngak bersahabat banget deh...",3,netral
ini saya pakai sopy pay udah trus pesanan stuck katanya diproses 1x 24 jam kok ga ada kabar lagi DC yg bermasalah pusat sortir daerah Cakung ini 2 jakarta timur apa gimna tolong pihak shoppy bantuannya dong 8 hari lhoh stuck di pusat sortir trus ini juga bukan tipe pesanan pre order juga,5,positif
sangat baik memuaskan dan,5,positif
teruntuk pihak shopee!! shopee sudah di kenal dan banyak di gunakan oleh masyarakat... saya rasa sudah waktunya untuk mengurangi iklan shopee... karena iklan shopee yang muncul di semua aplikasi sangat menggangu bahkan membuat sebagian besar pengguna shoppe jengkel dan merasa ingin uninstall... itu adalah saran saya selaku pengguna shoppe...,5,positif
